occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,Vacancy,Power Outage
1.0,0.049,0.049,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.222,0,0
1.0,0.049,0.049,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.378,0,0
1.0,0.0992,0.0992,0.0,0.0,0.0,0.0,0.381,0.542,0.542,0.0,0.0,0.0,0,0
1.0,0.0992,0.0992,0.0,0.0,0.0,0.0,0.381,0.542,0.542,0.0,0.0,0.0,0,0
1.0,0.0992,0.0992,0.0,0.0,0.0,0.0,0.381,0.542,0.542,0.0,0.0,0.436,0,0
1.0,0.0992,0.0992,0.0,0.0,0.0,0.0,0.381,0.542,0.542,0.0,0.0,0.0313,0,0
1.0,0.351,0.351,0.0,0.0,0.0,0.0,0.601,0.693,0.693,0.0,0.0,0.0,0,0
1.0,0.351,0.351,0.0,0.0,0.0,0.0,0.601,0.693,0.693,0.0,0.0,0.521,0,0
1.0,0.351,0.351,0.0,0.0,0.0,0.0,0.601,0.693,0.693,0.0,0.0,0.0,0,0
1.0,0.351,0.351,0.0,0.0,0.0,0.0,0.601,0.693,0.693,0.0,0.0,0.0,0,0
0.5,0.246,0.246,0.0,0.0,0.0,0.0,0.457,0.626,0.626,0.0,0.0,0.244,0,0
0.5,0.246,0.246,0.0,0.0,0.0,0.0,0.457,0.626,0.626,0.0,0.0,0.209,0,0
0.5,0.246,0.246,0.0,0.0,0.0,0.0,0.457,0.626,0.626,0.0,0.0,0.0,0,0
0.5,0.246,0.246,0.0,0.0,0.0,0.0,0.457,0.626,0.626,0.0,0.0,0.0,0,0
0.5,0.26,0.26,0.0,0.0,0.0,0.0,0.367,0.635,0.635,0.0,0.0,0.0,0,0
0.5,0.26,0.26,0.0,0.0,0.0,0.0,0.367,0.635,0.635,0.0,0.0,0.0,0,0
0.5,0.26,0.26,0.0,0.0,0.0,0.0,0.367,0.635,0.635,0.0,0.0,0.0,0,0
0.5,0.26,0.26,0.0,0.0,0.0,0.0,0.367,0.635,0.635,0.0,0.0,0.2,0,0
0.5,0.267,0.267,0.0,0.0,0.0,0.0,0.29,0.635,0.635,0.0,0.0,0.3,0,0
0.5,0.267,0.267,0.0,0.0,0.0,0.0,0.29,0.635,0.635,0.0,0.0,0.0,0,0
0.5,0.267,0.267,0.0,0.0,0.0,0.0,0.29,0.635,0.635,0.0,0.0,0.2,0,0
0.5,0.267,0.267,0.0,0.0,0.0,0.0,0.29,0.635,0.635,0.0,0.0,0.2,0,0
0.5,0.26,0.26,0.0,0.0,0.0,0.0,0.297,0.635,0.635,0.0,0.0,0.1,0,0
0.5,0.26,0.26,0.0,0.0,0.0,0.0,0.297,0.635,0.635,0.0,0.0,0.0,0,0
